order_id,product,category,price,quantity,customer_city,order_date,rating,has_rating,order_month,revenue,region,revenue_scaled,log_revenue
1001,Notebook Set,Stationery,149.0,1,Chennai,2026-04-17,5.0,True,April,149.0,South,0.0,5.0106352940962555
1002,Wall Clock,Home,799.0,3,Mumbai,2026-03-29,3.0,True,March,2397.0,West,0.21724004638577502,7.7823903355874595
1003,Yoga Mat,Fitness,999.0,2,Hyderabad,2026-06-07,3.0,True,June,1998.0,South,0.17868187089292617,7.6004023345004
1004,Coffee Mug,Home,299.0,4,Delhi,2026-01-22,1.0,True,January,1196.0,North,0.10117897178198684,7.087573705557973
1005,Wall Clock,Home,749.0,4,Hyderabad,2026-01-15,5.0,True,January,2996.0,South,0.2751256281407035,8.005367067316664
1006,Yoga Mat,Fitness,799.0,3,Bangalore,2026-03-05,5.0,True,March,2397.0,South,0.21724004638577502,7.7823903355874595
1007,Notebook Set,Stationery,299.0,1,Chennai,2026-01-18,,False,January,299.0,South,0.014495554696559719,5.703782474656201
1008,Bluetooth Speaker,Electronics,1999.0,1,Delhi,2026-02-22,4.0,True,February,1999.0,North,0.17877850792423658,7.600902459542082
1009,Notebook Set,Stationery,149.0,1,Hyderabad,2026-06-24,4.0,True,June,149.0,South,0.0,5.0106352940962555
1010,Bluetooth Speaker,Electronics,1949.0,2,Pune,2026-05-14,5.0,True,May,3898.0,West,0.36229223038268266,8.268475388982598
1011,Bluetooth Speaker,Electronics,1999.0,4,Delhi,2026-01-14,4.0,True,January,7996.0,North,0.7583107846926942,8.98682175033189
1012,Notebook Set,Stationery,149.0,1,Pune,2026-02-09,5.0,True,February,149.0,West,0.0,5.0106352940962555
1013,Coffee Mug,Home,299.0,1,Bangalore,2026-05-04,4.0,True,May,299.0,South,0.014495554696559719,5.703782474656201
1014,Wireless Mouse,Electronics,799.0,3,Delhi,2026-03-29,4.0,True,March,2397.0,North,0.21724004638577502,7.7823903355874595
1015,Yoga Mat,Fitness,899.0,4,Bangalore,2026-06-12,2.0,True,June,3596.0,South,0.3331078469269424,8.187855443695623
1016,Notebook Set,Stationery,199.0,3,Bangalore,2026-05-15,4.0,True,May,597.0,South,0.043293390027058364,6.393590753950631
1017,Wireless Mouse,Electronics,899.0,3,Bangalore,2026-04-14,5.0,True,April,2697.0,South,0.24623115577889448,7.900266036767701
1018,Yoga Mat,Fitness,999.0,3,Pune,2026-05-11,5.0,True,May,2997.0,West,0.2752222651720139,8.005700678662542
1019,Notebook Set,Stationery,199.0,1,Chennai,2026-01-15,4.0,True,January,199.0,South,0.004831851565519905,5.298317366548036
1020,Yoga Mat,Fitness,899.0,4,Bangalore,2026-04-06,3.0,True,April,3596.0,South,0.3331078469269424,8.187855443695623
1021,Notebook Set,Stationery,299.0,3,Mumbai,2026-01-29,2.0,True,January,897.0,West,0.07228449942017781,6.8001700683022
1022,Yoga Mat,Fitness,849.0,2,Delhi,2026-02-14,3.0,True,February,1698.0,North,0.14969076149980673,7.4377951216719325
1023,Running Shoes,Fitness,799.0,4,Delhi,2026-04-02,,False,April,3196.0,North,0.29445303440278314,8.069968149059841
